Name,Tags
Bitcoin,Mineable
Bitcoin,PoW
Bitcoin,SHA-256
Ethereum,PoS
Ethereum,Smart Contracts
Ethereum,Ethereum Ecosystem
Tether USDt,Payments
Tether USDt,Stablecoin
Tether USDt,Asset-Backed Stablecoin
BNB,Marketplace
BNB,Centralized Exchange (CEX) Token
BNB,Payments
XRP,Medium of Exchange
XRP,Enterprise Solutions
XRP,Arrington XRP Capital Portfolio
USD Coin,Medium of Exchange
USD Coin,Stablecoin
USD Coin,Asset-Backed Stablecoin
Cardano,DPoS
Cardano,PoS
Cardano,Platform
Dogecoin,Mineable
Dogecoin,PoW
Dogecoin,Scrypt
Solana,PoS
Solana,Platform
Solana,Solana Ecosystem
TRON,Media
TRON,Payments
TRON,TRON Ecosystem
Polkadot,Substrate
Polkadot,Polkadot
Polkadot,Binance Chain
Dai,DeFi
Dai,Stablecoin
Dai,Asset-Backed Stablecoin
Polygon,PoS
Polygon,Platform
Polygon,Enterprise Solutions
Toncoin,PoS
Toncoin,DWF Labs Portfolio
Toncoin,Toncoin Ecosystem
Litecoin,Mineable
Litecoin,PoW
Litecoin,Scrypt
Shiba Inu,Memes
Shiba Inu,Ethereum Ecosystem
Shiba Inu,Doggone Doggerel
Wrapped Bitcoin,Medium of Exchange
Wrapped Bitcoin,DeFi
Wrapped Bitcoin,Wrapped Tokens
Bitcoin Cash,Mineable
Bitcoin Cash,PoW
Bitcoin Cash,SHA-256
UNUS SED LEO,Marketplace
UNUS SED LEO,Centralized Exchange (CEX) Token
UNUS SED LEO,Discount Token
Avalanche,DeFi
Avalanche,Smart Contracts
Avalanche,Three Arrows Capital Portfolio
Stellar,Medium of Exchange
Stellar,Enterprise Solutions
Stellar,Decentralized Exchange (DEX) Token
Chainlink,Platform
Chainlink,DeFi
Chainlink,Oracles
Binance USD,Stablecoin
Binance USD,Asset-Backed Stablecoin
Binance USD,Binance Chain
TrueUSD,Store Of Value
TrueUSD,Stablecoin
TrueUSD,Asset-Backed Stablecoin
Uniswap,Decentralized Exchange (DEX) Token
Uniswap,DeFi
Uniswap,DAO
Monero,Mineable
Monero,PoW
Monero,Medium of Exchange
OKB,Marketplace
OKB,Centralized Exchange (CEX) Token
OKB,Discount Token
Cosmos,Platform
Cosmos,Cosmos Ecosystem
Cosmos,Content Creation
Ethereum Classic,Mineable
Ethereum Classic,PoW
Ethereum Classic,Ethash
Hedera,DAG
Hedera,Marketplace
Hedera,Enterprise Solutions
Internet Computer,Platform
Internet Computer,Distributed Computing
Internet Computer,Collectibles & NFTs
Filecoin,Mineable
Filecoin,Distributed Computing
Filecoin,Filesharing
Mantle,Ethereum Ecosystem
Mantle,Layer 2
Mantle,DWF Labs Portfolio
Lido DAO,DeFi
Lido DAO,DAO
Lido DAO,Three Arrows Capital Portfolio
Cronos,Medium of Exchange
Cronos,Cosmos Ecosystem
Cronos,Centralized Exchange (CEX) Token
Aptos,Binance Labs Portfolio
Aptos,Aptos Ecosystem
Aptos,Circle Ventures Portfolio
Quant,Platform
Quant,Interoperability
Arbitrum,Scaling
Arbitrum,DAO
Arbitrum,DApp
VeChain,Logistics
VeChain,Data Provenance
VeChain,IoT
NEAR Protocol,Platform
NEAR Protocol,Staking
NEAR Protocol,Coinbase Ventures Portfolio
Optimism,Layer 2
Optimism,Optimism Ecosystem
Maker,Store Of Value
Maker,DeFi
Maker,DAO
Aave,DeFi
Aave,DAO
Aave,Yield Farming
The Graph,AI & Big Data
The Graph,Enterprise Solutions
The Graph,DeFi
Algorand,PoS
Algorand,Platform
Algorand,Research
XDC Network,Enterprise Solutions
XDC Network,Smart Contracts
XDC Network,XDC Ecosystem
USDD,Stablecoin
USDD,Algorithmic Stablecoin
USDD,Arbitrum Ecosystem
Axie Infinity,Collectibles & NFTs
Axie Infinity,Gaming
Axie Infinity,Binance Launchpad
The Sandbox,Collectibles & NFTs
The Sandbox,Content Creation
The Sandbox,Gaming
Tezos,PoS
Tezos,Platform
Tezos,Enterprise Solutions
Stacks,Mineable
Stacks,Platform
Stacks,Collectibles & NFTs
MultiversX,Binance Launchpad
MultiversX,Binance Labs Portfolio
MultiversX,Electric Capital Portfolio
EOS,Medium of Exchange
EOS,Enterprise Solutions
EOS,Smart Contracts
Theta Network,Media
Theta Network,Collectibles & NFTs
Theta Network,Content Creation
Immutable,Collectibles & NFTs
Immutable,Zero Knowledge Proofs
Immutable,Gaming
Injective,PoS
Injective,Platform
Injective,Cosmos Ecosystem
Fantom,Platform
Fantom,Enterprise Solutions
Fantom,DeFi
Bitcoin SV,Mineable
Bitcoin SV,PoW
Bitcoin SV,SHA-256
Decentraland,Platform
Decentraland,Collectibles & NFTs
Decentraland,Gaming
Synthetix,Services
Synthetix,Decentralized Exchange (DEX) Token
Synthetix,DeFi
Render,Art
Render,Media
Render,VR/AR
ApeCoin,Collectibles & NFTs
ApeCoin,Content Creation
ApeCoin,Gaming
Pax Dollar,Store Of Value
Pax Dollar,Stablecoin
Pax Dollar,Asset-Backed Stablecoin
Neo,Platform
Neo,Enterprise Solutions
Neo,Smart Contracts
THORChain,Cosmos Ecosystem
THORChain,Decentralized Exchange (DEX) Token
THORChain,DeFi
Kava,Cosmos Ecosystem
Kava,DeFi
Kava,Binance Launchpad
PAX Gold,BNB Chain
PAX Gold,Tokenized Gold
Tether Gold,Tokenized Gold
eCash,Layer 1
Flow,Platform
Flow,Collectibles & NFTs
Flow,Staking
Rocket Pool,DeFi
Rocket Pool,Liquid Staking Derivatives
Chiliz,Sports
Chiliz,Collectibles & NFTs
Chiliz,Content Creation
Gala,Collectibles & NFTs
Gala,Gaming
Gala,BNB Smart Chain
Klaytn,Platform
Klaytn,Enterprise Solutions
Klaytn,Injective Ecosystem
KuCoin Token,Marketplace
KuCoin Token,Centralized Exchange (CEX) Token
KuCoin Token,Discount Token
Frax Share,DeFi
Frax Share,Seigniorage
Frax Share,Avalanche Ecosystem
IOTA,DAG
IOTA,Medium of Exchange
IOTA,IoT
Zcash,Mineable
Zcash,PoW
Zcash,Equihash
Casper,Enterprise Solutions
Casper,Arrington XRP Capital Portfolio
Casper,Hashkey Capital Portfolio
Sui,Binance Launchpool
Sui,Coinbase Ventures Portfolio
Sui,Binance Labs Portfolio
Huobi Token,Marketplace
Huobi Token,Centralized Exchange (CEX) Token
Huobi Token,Discount Token
BitTorrent(New),Platform
BitTorrent(New),Distributed Computing
BitTorrent(New),Filesharing
Curve DAO Token,Decentralized Exchange (DEX) Token
Curve DAO Token,DeFi
Curve DAO Token,DAO
Conflux,Mineable
Conflux,PoW
Conflux,Platform
Mina,PoS
Mina,Zero Knowledge Proofs
Mina,Staking
GateToken,Marketplace
GateToken,Centralized Exchange (CEX) Token
GateToken,Discount Token
Terra Classic,Cosmos Ecosystem
Terra Classic,Store Of Value
Terra Classic,DeFi
Trust Wallet Token,Wallet
Trust Wallet Token,Polygon Ecosystem
