Name,Tags
bitcoin,Mineable
bitcoin,PoW
bitcoin,SHA-256
ethereum,PoS
ethereum,Smart Contracts
ethereum,Ethereum Ecosystem
tether,Payments
tether,Stablecoin
tether,Asset-Backed Stablecoin
bnb,Marketplace
bnb,Centralized Exchange (CEX) Token
bnb,Payments
xrp,Medium of Exchange
xrp,Enterprise Solutions
xrp,Arrington XRP Capital Portfolio
usd-coin,Medium of Exchange
usd-coin,Stablecoin
usd-coin,Asset-Backed Stablecoin
cardano,DPoS
cardano,PoS
cardano,Platform
dogecoin,Mineable
dogecoin,PoW
dogecoin,Scrypt
solana,PoS
solana,Platform
solana,Solana Ecosystem
tron,Media
tron,Payments
tron,TRON Ecosystem
polkadot-new,Substrate
polkadot-new,Polkadot
polkadot-new,Binance Chain
multi-collateral-dai,DeFi
multi-collateral-dai,Stablecoin
multi-collateral-dai,Asset-Backed Stablecoin
polygon,PoS
polygon,Platform
polygon,Enterprise Solutions
toncoin,PoS
toncoin,DWF Labs Portfolio
toncoin,Toncoin Ecosystem
litecoin,Mineable
litecoin,PoW
litecoin,Scrypt
shiba-inu,Memes
shiba-inu,Ethereum Ecosystem
shiba-inu,Doggone Doggerel
wrapped-bitcoin,Medium of Exchange
wrapped-bitcoin,DeFi
wrapped-bitcoin,Wrapped Tokens
bitcoin-cash,Mineable
bitcoin-cash,PoW
bitcoin-cash,SHA-256
unus-sed-leo,Marketplace
unus-sed-leo,Centralized Exchange (CEX) Token
unus-sed-leo,Discount Token
avalanche,DeFi
avalanche,Smart Contracts
avalanche,Three Arrows Capital Portfolio
stellar,Medium of Exchange
stellar,Enterprise Solutions
stellar,Decentralized Exchange (DEX) Token
chainlink,Platform
chainlink,DeFi
chainlink,Oracles
binance-usd,Stablecoin
binance-usd,Asset-Backed Stablecoin
binance-usd,Binance Chain
trueusd,Store Of Value
trueusd,Stablecoin
trueusd,Asset-Backed Stablecoin
uniswap,Decentralized Exchange (DEX) Token
uniswap,DeFi
uniswap,DAO
monero,Mineable
monero,PoW
monero,Medium of Exchange
okb,Marketplace
okb,Centralized Exchange (CEX) Token
okb,Discount Token
cosmos,Platform
cosmos,Cosmos Ecosystem
cosmos,Content Creation
ethereum-classic,Mineable
ethereum-classic,PoW
ethereum-classic,Ethash
hedera,DAG
hedera,Marketplace
hedera,Enterprise Solutions
internet-computer,Platform
internet-computer,Distributed Computing
internet-computer,Collectibles & NFTs
filecoin,Mineable
filecoin,Distributed Computing
filecoin,Filesharing
mantle,Ethereum Ecosystem
mantle,Layer 2
mantle,DWF Labs Portfolio
lido-dao,DeFi
lido-dao,DAO
lido-dao,Three Arrows Capital Portfolio
cronos,Medium of Exchange
cronos,Cosmos Ecosystem
cronos,Centralized Exchange (CEX) Token
aptos,Binance Labs Portfolio
aptos,Aptos Ecosystem
aptos,Circle Ventures Portfolio
quant,Platform
quant,Interoperability
arbitrum,Scaling
arbitrum,DAO
arbitrum,DApp
vechain,Logistics
vechain,Data Provenance
vechain,IoT
near-protocol,Platform
near-protocol,Staking
near-protocol,Coinbase Ventures Portfolio
optimism-ethereum,Layer 2
optimism-ethereum,Optimism Ecosystem
maker,Store Of Value
maker,DeFi
maker,DAO
aave,DeFi
aave,DAO
aave,Yield Farming
the-graph,AI & Big Data
the-graph,Enterprise Solutions
the-graph,DeFi
algorand,PoS
algorand,Platform
algorand,Research
xdc-network,Enterprise Solutions
xdc-network,Smart Contracts
xdc-network,XDC Ecosystem
usdd,Stablecoin
usdd,Algorithmic Stablecoin
usdd,Arbitrum Ecosystem
axie-infinity,Collectibles & NFTs
axie-infinity,Gaming
axie-infinity,Binance Launchpad
the-sandbox,Collectibles & NFTs
the-sandbox,Content Creation
the-sandbox,Gaming
tezos,PoS
tezos,Platform
tezos,Enterprise Solutions
stacks,Mineable
stacks,Platform
stacks,Collectibles & NFTs
multiversx-egld,Binance Launchpad
multiversx-egld,Binance Labs Portfolio
multiversx-egld,Electric Capital Portfolio
eos,Medium of Exchange
eos,Enterprise Solutions
eos,Smart Contracts
theta-network,Media
theta-network,Collectibles & NFTs
theta-network,Content Creation
immutable-x,Collectibles & NFTs
immutable-x,Zero Knowledge Proofs
immutable-x,Gaming
injective,PoS
injective,Platform
injective,Cosmos Ecosystem
fantom,Platform
fantom,Enterprise Solutions
fantom,DeFi
bitcoin-sv,Mineable
bitcoin-sv,PoW
bitcoin-sv,SHA-256
decentraland,Platform
decentraland,Collectibles & NFTs
decentraland,Gaming
synthetix,Services
synthetix,Decentralized Exchange (DEX) Token
synthetix,DeFi
render,Art
render,Media
render,VR/AR
apecoin-ape,Collectibles & NFTs
apecoin-ape,Content Creation
apecoin-ape,Gaming
paxos-standard,Store Of Value
paxos-standard,Stablecoin
paxos-standard,Asset-Backed Stablecoin
neo,Platform
neo,Enterprise Solutions
neo,Smart Contracts
thorchain,Cosmos Ecosystem
thorchain,Decentralized Exchange (DEX) Token
thorchain,DeFi
kava,Cosmos Ecosystem
kava,DeFi
kava,Binance Launchpad
pax-gold,BNB Chain
pax-gold,Tokenized Gold
tether-gold,Tokenized Gold
ecash,Layer 1
flow,Platform
flow,Collectibles & NFTs
flow,Staking
rocket-pool,DeFi
rocket-pool,Liquid Staking Derivatives
chiliz,Sports
chiliz,Collectibles & NFTs
chiliz,Content Creation
gala,Collectibles & NFTs
gala,Gaming
gala,BNB Smart Chain
klaytn,Platform
klaytn,Enterprise Solutions
klaytn,Injective Ecosystem
kucoin-token,Marketplace
kucoin-token,Centralized Exchange (CEX) Token
kucoin-token,Discount Token
frax-share,DeFi
frax-share,Seigniorage
frax-share,Avalanche Ecosystem
iota,DAG
iota,Medium of Exchange
iota,IoT
zcash,Mineable
zcash,PoW
zcash,Equihash
casper,Enterprise Solutions
casper,Arrington XRP Capital Portfolio
casper,Hashkey Capital Portfolio
sui,Binance Launchpool
sui,Coinbase Ventures Portfolio
sui,Binance Labs Portfolio
huobi-token,Marketplace
huobi-token,Centralized Exchange (CEX) Token
huobi-token,Discount Token
bittorrent-new,Platform
bittorrent-new,Distributed Computing
bittorrent-new,Filesharing
curve-dao-token,Decentralized Exchange (DEX) Token
curve-dao-token,DeFi
curve-dao-token,DAO
conflux-network,Mineable
conflux-network,PoW
conflux-network,Platform
mina,PoS
mina,Zero Knowledge Proofs
mina,Staking
gatetoken,Marketplace
gatetoken,Centralized Exchange (CEX) Token
gatetoken,Discount Token
terra-luna,Cosmos Ecosystem
terra-luna,Store Of Value
terra-luna,DeFi
trust-wallet-token,Wallet
trust-wallet-token,Polygon Ecosystem
trust-wallet-token,BNB Chain
pepe,Memes
dydx,DeFi
dydx,Derivatives
dydx,Zero Knowledge Proofs
compound,DeFi
compound,DAO
compound,Yield Farming
nexo,Services
nexo,Payments
nexo,Cardano Ecosystem
gmx,Derivatives
gmx,DEX
gmx,Avalanche Ecosystem
bone-shibaswap,Memes
bone-shibaswap,Doggone Doggerel
apenft,Art
