timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:49:00.000Z";"2023-08-31T21:10:00.000Z";10.4121275998;10.5212724202;9.9529141141;9.9872689074;141798754.83;3530412584.99;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:04:00.000Z";"2023-08-30T18:32:00.000Z";10.8112161573;10.8176385669;10.3543928752;10.4116989046;120489599.41;3680259717.31;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:46:00.000Z";"2023-08-29T12:25:00.000Z";10.3678657315;11.1621949461;10.343710146;10.8105965248;184923910.27;3821027864.3;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T17:07:00.000Z";"2023-08-28T05:34:00.000Z";10.1987240929;10.419875171;9.9770694623;10.367795558;115644220.77;3664508414.7;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:43:00.000Z";"2023-08-27T03:11:00.000Z";10.0915671809;10.2652187661;10.0741808056;10.1987783926;100337789.37;3604698895.75;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T22:07:00.000Z";"2023-08-26T18:47:00.000Z";10.0525580867;10.1170667518;10.0144174969;10.0917124037;82673805.57;3566849921.96;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T02:31:00.000Z";"2023-08-25T14:58:00.000Z";10.1136582242;10.1181635007;9.9147554958;10.0530320353;120285068.43;3459082269.77;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:12:00.000Z";"2023-08-24T20:58:00.000Z";10.3366159847;10.3495399257;10.0136447101;10.1131309072;92595657.9;3479740511.15;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:50:00.000Z";"2023-08-23T13:14:00.000Z";10.1316176308;10.4539806497;10.0697259092;10.3366613423;94660706.65;3556625266.76;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:52:00.000Z";"2023-08-22T18:13:00.000Z";10.3608441296;10.3709507462;9.8392787383;10.1307910723;127247027.51;3485755007.73;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:00:00.000Z";"2023-08-21T15:31:00.000Z";10.8724687311;10.8724687311;10.2924515846;10.3613560609;109507460.89;3564899579.97;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:47:00.000Z";"2023-08-20T07:01:00.000Z";10.8073267553;10.9158242624;10.7577700106;10.8730900904;73344406.04;3740953222.66;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T00:46:00.000Z";"2023-08-19T07:17:00.000Z";10.7991801097;10.8749013391;10.5812077395;10.8068240051;90720063.93;3718141475.05;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T09:02:00.000Z";"2023-08-18T00:04:00.000Z";10.5922091236;10.9841821091;10.5750946274;10.7994848928;119700966.61;3715588347.05;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T09:49:00.000Z";"2023-08-17T21:46:00.000Z";11.3698992577;11.4907049622;10.1377340924;10.5905611626;148177479.11;3643069561.41;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:19:00.000Z";"2023-08-16T21:16:00.000Z";11.8060712161;11.843333545;11.1774127466;11.3686074233;113468173.61;3910530775;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:14:00.000Z";"2023-08-15T19:10:00.000Z";12.3544538395;12.3577859221;11.6595074141;11.8060954094;109201442.59;4059940111.17;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T15:47:00.000Z";"2023-08-14T02:22:00.000Z";12.2740339772;12.4297457703;12.202266279;12.3536824844;93500406.38;4247541813.08;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:04:00.000Z";"2023-08-13T22:45:00.000Z";12.3885701673;12.4141489826;12.2441515056;12.2743984818;84586348.58;4220261487.12;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T12:43:00.000Z";"2023-08-12T21:32:00.000Z";12.4419647857;12.4797083177;12.3634749525;12.3897606448;69515969.56;4259899055.45;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T14:18:00.000Z";"2023-08-11T16:47:00.000Z";12.4818329917;12.5243447017;12.3835177272;12.441793208;82201066.03;4277768919.37;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T14:07:00.000Z";"2023-08-10T08:28:00.000Z";12.6214686965;12.639218119;12.476778944;12.4809729206;98396828.73;4291168273.56;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T13:02:00.000Z";"2023-08-09T21:16:00.000Z";12.6914915886;12.7851263731;12.5234126702;12.621300428;103737727.31;4339326938.63;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T21:26:00.000Z";"2023-08-08T02:05:00.000Z";12.447861693;12.7547385527;12.3942981624;12.6912627161;122703545.53;4395701930.72;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T03:05:00.000Z";"2023-08-07T16:19:00.000Z";12.5723741227;12.7258787831;12.2850014792;12.4482421306;113926596.39;4311428186.8;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T08:58:00.000Z";"2023-08-06T00:11:00.000Z";12.4372665535;12.6415163121;12.4231598565;12.5724155666;92679576.42;4354309777.72;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T23:56:00.000Z";"2023-08-05T12:52:00.000Z";12.3978856015;12.4380883145;12.2881692471;12.4378112002;81054019.08;4307639137.47;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T13:52:00.000Z";"2023-08-04T20:52:00.000Z";12.44504924;12.5855398046;12.3225608721;12.3978785765;98780737.7;4293756161.89;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T17:23:00.000Z";"2023-08-03T08:28:00.000Z";12.5380967202;12.6219113776;12.3991606713;12.4460035348;115953075.85;4310372370.03;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:34:00.000Z";"2023-08-02T16:58:00.000Z";12.8741583209;12.9387315139;12.4811154415;12.5373642538;114062163.18;4340738359.84;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T01:16:00.000Z";"2023-08-01T02:13:00.000Z";12.8234582132;12.8794335802;12.5449935879;12.8756644162;122231868.62;4456860270.28;"2023-08-01T23:59:59.999Z"
