timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T08:28:00.000Z";"2023-08-31T17:22:00.000Z";215.9506378612;222.158152043;204.2793263297;207.4877812778;358274719.85;4044316819.11;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:13:00.000Z";"2023-08-30T18:32:00.000Z";224.3274290752;225.1224913361;212.3828758294;215.9364901494;281864292.21;4208805983.08;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T22:16:00.000Z";"2023-08-29T10:40:00.000Z";190.4162764558;227.0346545942;189.1097546834;224.1767487648;473894980.48;4369228652.21;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:00:00.000Z";"2023-08-28T22:11:00.000Z";198.0061448154;198.0061448154;188.4721110403;190.4127098152;154008889.76;3710942590.88;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T21:22:00.000Z";"2023-08-27T00:05:00.000Z";190.1486275832;200.0319544274;190.0707931339;198.010838013;133931468.49;3858864912.83;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:00:00.000Z";"2023-08-26T12:47:00.000Z";192.0515937063;192.0515937063;189.1286749619;190.1511033117;89396995.76;3705499507.57;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:00:00.000Z";"2023-08-25T15:03:00.000Z";194.4436116208;194.4436116208;188.9811354761;192.0520359586;139896933.21;3742379987.33;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T23:49:00.000Z";"2023-08-24T15:32:00.000Z";193.6721381888;194.5178980727;189.0657182834;194.4614658425;137341529.27;3789148508.07;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:50:00.000Z";"2023-08-23T00:04:00.000Z";184.7432269463;195.9238584102;184.713643404;193.6615361523;173286458.5;3773381255.78;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T14:07:00.000Z";"2023-08-22T21:31:00.000Z";186.0550306128;187.0749130384;180.6799655571;184.7385937704;150252024.61;3599346309.42;"2023-08-22T23:59:59.999Z"
