timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:06:00.000Z";"2023-08-31T21:22:00.000Z";1.4081405445;1.4090775524;1.3483142111;1.3572027308;5084123.61;146332239.95;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:17:00.000Z";"2023-08-30T14:52:00.000Z";1.4359613554;1.4446465109;1.3976937084;1.4079235063;4448058.7;151800903.19;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:47:00.000Z";"2023-08-29T10:42:00.000Z";1.4012219057;1.4431412482;1.37831511;1.4364357178;5327936.82;154875061.3;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:03:00.000Z";"2023-08-28T09:54:00.000Z";1.4183831844;1.4205008192;1.3594220469;1.401153903;5779248.97;151071011.34;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T14:32:00.000Z";"2023-08-27T22:19:00.000Z";1.439839677;1.4598902836;1.4079670837;1.4183288301;8313793.3;152922794.79;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T21:45:00.000Z";"2023-08-26T00:47:00.000Z";1.3271335831;1.4724416058;1.3256737553;1.4401183247;9414942.42;155272116.29;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:01:00.000Z";"2023-08-25T17:27:00.000Z";1.3666974865;1.366913969;1.3202087687;1.3269585436;3856402.04;143071341.96;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:42:00.000Z";"2023-08-24T15:32:00.000Z";1.3846786156;1.3883102622;1.3493911419;1.3666624234;3607723.83;147352174.54;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T17:01:00.000Z";"2023-08-23T13:19:00.000Z";1.3705317342;1.4012565591;1.3519837671;1.3847263136;3637925.5;149299805.1;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:50:00.000Z";"2023-08-22T21:44:00.000Z";1.3785058599;1.3931642704;1.3215090507;1.370364296;3552413.63;147751306.73;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:35:00.000Z";"2023-08-21T16:18:00.000Z";1.3986794088;1.4022746579;1.3558216845;1.3784973063;2795243.59;148628199.76;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:41:00.000Z";"2023-08-20T01:38:00.000Z";1.3764167258;1.4040279037;1.3682672233;1.3985099473;2753529.11;150785942.68;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T04:53:00.000Z";"2023-08-19T20:53:00.000Z";1.395337602;1.4150781847;1.36365944;1.3765073796;4554713.51;148413647.86;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T06:17:00.000Z";"2023-08-18T03:24:00.000Z";1.3883630079;1.4017400477;1.3741692947;1.3952820521;3345434.07;150437914.25;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:00:00.000Z";"2023-08-17T21:46:00.000Z";1.538607435;1.5556287311;1.2945028133;1.3883312162;4783121.75;149688482.09;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T03:17:00.000Z";"2023-08-16T22:01:00.000Z";1.6000249594;1.6193350985;1.5175550374;1.5386842143;4892602.78;165899391.84;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T15:02:00.000Z";"2023-08-15T19:31:00.000Z";1.7022080647;1.7097829021;1.5840202631;1.5999147092;6001327.67;172501202.51;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T16:22:00.000Z";"2023-08-14T23:02:00.000Z";1.7075958658;1.7243359624;1.6998081203;1.7026632373;4363132.05;183579445.97;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T00:00:00.000Z";"2023-08-13T16:18:00.000Z";1.7819583853;1.7819583853;1.7014681528;1.7084405358;5966313.74;184202348.51;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T23:58:00.000Z";"2023-08-12T00:29:00.000Z";1.6712490357;1.782938836;1.6696035032;1.7829329766;5351879.66;192234048.91;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T16:31:00.000Z";"2023-08-11T20:37:00.000Z";1.6845596562;1.6875137077;1.6616350317;1.6709456989;3354881.41;180159692.73;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T03:25:00.000Z";"2023-08-10T19:39:00.000Z";1.7021011335;1.707443821;1.6754322227;1.6853019653;4103375.67;181707571;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T01:54:00.000Z";"2023-08-09T20:22:00.000Z";1.7174222728;1.7246268416;1.6902161731;1.7022998408;4434962.63;183540264.93;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T19:15:00.000Z";"2023-08-08T10:45:00.000Z";1.6941266251;1.7414258761;1.6752248664;1.7173267858;3767977.34;185160455.09;"2023-08-08T23:59:59.999Z"
