timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:52:00.000Z";"2023-08-31T21:10:00.000Z";0.0073732122161;0.00739924387035;0.00706712366076;0.00710212204025;4267263.92;132872849.77;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:16:00.000Z";"2023-08-30T15:07:00.000Z";0.00747281137441;0.00750274293434;0.00731503078889;0.00737350845087;3272061.32;137950189.41;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T18:13:00.000Z";"2023-08-29T10:30:00.000Z";0.00728073280698;0.00756963714723;0.00708875295166;0.00747280731482;4115197.54;139807961.35;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T17:55:00.000Z";"2023-08-28T05:35:00.000Z";0.00724165091789;0.00729725823959;0.00710214267298;0.00728260296925;3544982.34;136249448.38;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T01:57:00.000Z";"2023-08-27T18:17:00.000Z";0.0073068125648;0.00733663770703;0.0072020796498;0.00724100879118;2736482.9;135471267.3;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T00:14:00.000Z";"2023-08-26T18:22:00.000Z";0.00733065802395;0.00736167666442;0.00727336466014;0.00730805383243;3194543.39;136725605.88;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T22:10:00.000Z";"2023-08-25T04:43:00.000Z";0.00722029826682;0.00733122522544;0.00709519697328;0.00733001621533;5983416.47;137136497.78;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:04:00.000Z";"2023-08-24T21:01:00.000Z";0.00737720174914;0.00743106139042;0.00717613803189;0.0072202428976;3977569.26;135082760.4;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:49:00.000Z";"2023-08-23T13:19:00.000Z";0.0071963218715;0.00745992749328;0.0071880512797;0.00737685467545;3381052.26;138012793.58;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T09:48:00.000Z";"2023-08-22T18:13:00.000Z";0.00715877111885;0.00724071415695;0.0070011269008;0.00719634136498;4130251.96;134635589.15;"2023-08-22T23:59:59.999Z"
