timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:52:00.000Z";"2023-08-31T21:10:00.000Z";0.1961883022;0.197261755;0.1889238074;0.1902921922;2008064.41;136773210.22;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:20:00.000Z";"2023-08-30T23:11:00.000Z";0.2039847865;0.2042390534;0.1958711061;0.1961876056;1928092.83;140987624.09;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T15:05:00.000Z";"2023-08-29T00:39:00.000Z";0.1987697579;0.207610499;0.1985182754;0.2039886491;2384756.45;146570713.41;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T12:30:00.000Z";"2023-08-28T05:34:00.000Z";0.1993189332;0.2002445221;0.196892241;0.1987726123;1667818.55;142307721.96;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T12:04:00.000Z";"2023-08-27T07:00:00.000Z";0.1989766802;0.1999199319;0.1970616799;0.1993196302;1458694.22;142641320.83;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T15:17:00.000Z";"2023-08-26T01:27:00.000Z";0.194986555;0.2000863236;0.194767889;0.198982972;1600878.61;142377505.97;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T22:45:00.000Z";"2023-08-25T04:43:00.000Z";0.19425634;0.195808812;0.1919192512;0.1949829229;1301095.9;139493172.17;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T05:55:00.000Z";"2023-08-24T22:44:00.000Z";0.1981314422;0.1990968156;0.1930964704;0.1942460477;1273975.91;138670042.95;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T17:46:00.000Z";"2023-08-23T13:16:00.000Z";0.1943656887;0.1995428737;0.1921526621;0.1981089535;1713532.13;141404066.68;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T08:14:00.000Z";"2023-08-22T21:41:00.000Z";0.1962202528;0.1971430275;0.189124772;0.1943437619;1573615.8;138681059.76;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T02:24:00.000Z";"2023-08-21T17:17:00.000Z";0.2006913375;0.2011960161;0.1955717874;0.1962194542;1409412.89;139996737.75;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T03:09:00.000Z";"2023-08-20T16:23:00.000Z";0.2020920747;0.2024122185;0.1995734527;0.2006925115;1080624.54;143139802.01;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T19:18:00.000Z";"2023-08-19T02:07:00.000Z";0.2011785387;0.2027042985;0.1988049189;0.2020885569;1497723.21;144067605.9;"2023-08-19T23:59:59.999Z"
