timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T11:21:00.000Z";"2023-08-31T15:43:00.000Z";0.9978321418;0.9986123985;0.9957007207;0.9966023225;26747859.94;722902471.53;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T00:00:00.000Z";"2023-08-30T13:39:00.000Z";0.9988439521;0.9988439521;0.9967388336;0.9979732621;24118503.32;723861976.8;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T14:45:00.000Z";"2023-08-29T12:20:00.000Z";0.9982332752;1.0016617712;0.9961740868;0.9988735459;23075208.09;724514984.95;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T12:27:00.000Z";"2023-08-28T07:43:00.000Z";0.9984464296;0.9993051673;0.9972427235;0.9979901549;23593498.53;723874969.37;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T23:50:00.000Z";"2023-08-27T11:55:00.000Z";0.9975469358;0.9990648383;0.996921467;0.9987054145;25121308.17;724393031.27;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T10:56:00.000Z";"2023-08-26T07:17:00.000Z";0.9976814796;0.9984093488;0.9968102971;0.9975391968;23554692.09;723548482.63;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T14:17:00.000Z";"2023-08-25T14:59:00.000Z";0.9980290093;0.9995100221;0.996586338;0.9976655093;24074045.57;723638753.89;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T17:47:00.000Z";"2023-08-24T14:33:00.000Z";0.9983856614;0.9990499394;0.9968351809;0.9980829805;21414682.38;723941559.07;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:42:00.000Z";"2023-08-23T08:47:00.000Z";0.9973266636;1.0010004298;0.9963321871;0.9985731903;22104149.38;724297125.22;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T21:34:00.000Z";"2023-08-22T21:27:00.000Z";0.9978186029;0.9991180377;0.9930761752;0.9973479914;24119790.03;723408447.94;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T21:52:00.000Z";"2023-08-21T15:17:00.000Z";0.9983938351;0.9990723229;0.9958793467;0.9978454554;22526608.14;723769445;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:41:00.000Z";"2023-08-20T00:37:00.000Z";0.9969953369;0.9992547864;0.9966132257;0.9983692126;20736427.38;724149172.89;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T18:38:00.000Z";"2023-08-19T05:54:00.000Z";0.995803098;0.9978577737;0.9948961241;0.9970271625;23184328.91;723175740.5;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T17:39:00.000Z";"2023-08-18T02:36:00.000Z";0.99628996;0.9981825604;0.9931420824;0.9956179325;34641646.91;722153608.68;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T21:50:00.000Z";"2023-08-17T21:58:00.000Z";0.9953506935;0.9994080857;0.9903588344;0.9963031515;26116986.73;722650592.08;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:20:00.000Z";"2023-08-16T23:38:00.000Z";0.9972180621;0.9980580432;0.9950204055;0.9951056187;22657285.41;721781983.2;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T00:00:00.000Z";"2023-08-15T19:10:00.000Z";0.9977938542;0.9977938542;0.9935163231;0.997298966;22903699.25;723372928.65;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T08:37:00.000Z";"2023-08-14T13:56:00.000Z";0.9970944903;0.9983781554;0.9961406997;0.9977124787;25528442.76;724119093.02;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T07:31:00.000Z";"2023-08-13T22:22:00.000Z";0.9981265436;0.9989287316;0.9966339555;0.9969504064;23857618.48;723120066.85;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T16:04:00.000Z";"2023-08-12T03:57:00.000Z";0.9984521999;0.9994936241;0.9977204138;0.9983182556;23025857.64;736089858.56;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T14:13:00.000Z";"2023-08-11T08:58:00.000Z";0.9979196491;0.999480969;0.9971377866;0.9986865058;22516890.64;736552259.73;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T12:31:00.000Z";"2023-08-10T20:58:00.000Z";0.9986028408;0.9989055957;0.9969890648;0.9979455374;21239449.47;740692155.9;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T13:21:00.000Z";"2023-08-09T22:37:00.000Z";0.9991710512;1.0000054731;0.9974487678;0.9983652097;23035568.46;740004258.86;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T21:21:00.000Z";"2023-08-08T07:17:00.000Z";0.9985686464;1.000732732;0.9974454744;0.9992787749;22202508.41;740765947.87;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T16:23:00.000Z";"2023-08-07T06:31:00.000Z";0.9979747815;0.9991537546;0.9966564113;0.9986956791;23019146.87;741216397.8;"2023-08-07T23:59:59.999Z"
